GeneID	Base mean	Log2(FC)	StdErr	Wald-Stats	P-value	P-Adj
gene-J2S48_RS20875	4314.04604750542	5.24861848615194	0.27966560141948	18.7674796596788	1.39341096503669e-78	4.85603721315286e-75
gene-J2S48_RS20100	16778.4495776824	7.60938498212703	0.429863402235533	17.7018674829118	4.05630570756031e-70	7.06811269542384e-67
gene-J2S48_RS06520	1607.89016946688	4.94581841489805	0.303690809431202	16.2857032919808	1.2468746649857e-59	1.44845273582506e-56
rna-J2S48_RS07170	904.658666794045	7.33275046243008	0.456177639535782	16.0743311967068	3.86138222903209e-58	3.36422926704421e-55
rna-J2S48_RS12480	1515.03155761452	7.8602786213469	0.490013302411087	16.0409494653936	6.61354681960033e-58	4.60964213326143e-55
MSTRG.99.1	30887.6737664066	7.55178955985698	0.511891702858064	14.7527094455581	2.95556661869779e-49	1.71669161102697e-46
rna-J2S48_RS12475	620.98397721589	5.37415894690617	0.375314359546869	14.3190869472583	1.66293634568703e-46	8.27904737817043e-44
gene-J2S48_RS16660	7569.10524954665	-4.86043367412773	0.339937147016509	-14.2980363187306	2.25071129399714e-46	9.80466107447503e-44
MSTRG.769.1	8951.36054109847	4.6339937440164	0.336830357735769	13.7576487320409	4.58187381041456e-43	1.77420335881053e-40
gene-J2S48_RS02325	885.520396320361	10.3059532933167	0.767954363694812	13.4200074646784	4.61666723403944e-41	1.60890853106275e-38
MSTRG.3503.1	4047.64330412651	3.43440323817198	0.276506358293511	12.4207025811912	2.0178161282887e-35	6.3928083700783e-33
gene-J2S48_RS13825	2712.5089552925	-3.6367516091205	0.295216993282117	-12.3189101300992	7.16561329065853e-35	2.08101352649541e-32
MSTRG.1237.1	7310.20517581162	3.6141650493471	0.297727853077846	12.1391566559347	6.5497615494161e-34	1.75583992305501e-31
gene-J2S48_RS00300	1286.87435576429	3.94076790383391	0.325267829189073	12.1154554806685	8.74768155121617e-34	2.17754787185631e-31
gene-J2S48_RS21085	1023.22669222614	4.09617954068658	0.344733601238231	11.8821592266426	1.46532638051394e-32	3.40444162406073e-30
gene-J2S48_RS02320	381.799047875103	5.13415299131265	0.435663328450668	11.7846801785476	4.6819396451515e-32	1.01978497895956e-29
gene-J2S48_RS18870	3789.1493854786	3.49140486759003	0.29772932939552	11.7267750365026	9.29323229614927e-32	1.9051126207106e-29
gene-J2S48_RS10185	45224.9673260334	-6.051498148893	0.528586351222231	-11.448457068368	2.39368136994768e-30	4.63443309681536e-28
gene-J2S48_RS02120	350.538238778965	4.65141673942968	0.408925436927008	11.3747307440303	5.58750264060421e-30	1.02486561592135e-27
gene-J2S48_RS13845	3298.22034934381	-3.11722314880463	0.274464901350322	-11.3574563941269	6.80985928949222e-30	1.18661798119402e-27
gene-J2S48_RS20595	2319.17110019764	-3.42171992620395	0.301850326455636	-11.3358165498186	8.72148504286095e-30	1.44735120830335e-27
